hora;fechamento;ganho;perda
2018-01-01T01:00:00.0000000Z;13620.387432406507;1;0
2018-01-01T02:00:00.0000000Z;13360.867631557816;0;1
2018-01-01T03:00:00.0000000Z;13422.640180855395;1;0
2018-01-01T04:00:00.0000000Z;13490.44990682163;1;0
2018-01-01T05:00:00.0000000Z;13609.696662507931;1;0
2018-01-01T06:00:00.0000000Z;13523.29458553581;0;1
2018-01-01T07:00:00.0000000Z;13810.616294125299;1;0
2018-01-01T08:00:00.0000000Z;13646.829287046254;0;1
2018-01-01T09:00:00.0000000Z;13492.006230559751;0;1
2018-01-01T10:00:00.0000000Z;13600.440263294002;1;0
2018-01-01T11:00:00.0000000Z;13551.936902654157;0;1
2018-01-01T12:00:00.0000000Z;13272.808984342824;0;1
2018-01-01T13:00:00.0000000Z;13258.9520610815;0;1
2018-01-01T14:00:00.0000000Z;13070.029093705529;0;1
2018-01-01T15:00:00.0000000Z;13249.374480805947;1;0
2018-01-01T16:00:00.0000000Z;13283.345186476867;1;0
2018-01-01T17:00:00.0000000Z;13075.53847354775;0;1
2018-01-01T18:00:00.0000000Z;13152.098714829335;1;0
2018-01-01T19:00:00.0000000Z;13168.84248116934;1;0
2018-01-01T20:00:00.0000000Z;13288.650824733864;1;0
2018-01-01T21:00:00.0000000Z;13422.936578319115;1;0
2018-01-01T22:00:00.0000000Z;13563.629144320617;1;0
2018-01-01T23:00:00.0000000Z;13519.5946575733;0;1
2018-01-02T00:00:00.0000000Z;13440.12173072525;0;1
2018-01-02T01:00:00.0000000Z;13802.124124842834;1;0
2018-01-02T02:00:00.0000000Z;13633.28205856218;0;1
2018-01-02T03:00:00.0000000Z;13518.849688803028;0;1
2018-01-02T04:00:00.0000000Z;13324.100604738956;0;1
2018-01-02T05:00:00.0000000Z;13155.31768981252;0;1
2018-01-02T06:00:00.0000000Z;13181.39592565655;1;0
2018-01-02T07:00:00.0000000Z;13315.562698732532;1;0
2018-01-02T08:00:00.0000000Z;13406.085956122663;1;0
2018-01-02T09:00:00.0000000Z;13442.27654152679;1;0
2018-01-02T10:00:00.0000000Z;13575.506156850619;1;0
2018-01-02T11:00:00.0000000Z;13696.703643031227;1;0
2018-01-02T12:00:00.0000000Z;13605.488355696547;0;1
2018-01-02T13:00:00.0000000Z;13621.657047297824;1;0
2018-01-02T14:00:00.0000000Z;13938.436462535352;1;0
2018-01-02T15:00:00.0000000Z;13850.86224638878;0;1
2018-01-02T16:00:00.0000000Z;13769.934844563943;0;1
2018-01-02T17:00:00.0000000Z;13697.634997643818;0;1
2018-01-02T18:00:00.0000000Z;13876.4052227838;1;0
2018-01-02T19:00:00.0000000Z;14685.827148011567;1;0
2018-01-02T20:00:00.0000000Z;14820.100940060669;1;0
2018-01-02T21:00:00.0000000Z;14920.163189846926;1;0
2018-01-02T22:00:00.0000000Z;14791.942865114526;0;1
2018-01-02T23:00:00.0000000Z;14912.511629613995;1;0
2018-01-03T00:00:00.0000000Z;14790.755775668766;0;1
2018-01-03T01:00:00.0000000Z;14848.779432225536;1;0
2018-01-03T02:00:00.0000000Z;14876.99321212552;1;0
2018-01-03T03:00:00.0000000Z;15033.600651470755;1;0
2018-01-03T04:00:00.0000000Z;14915.198906062002;0;1
2018-01-03T05:00:00.0000000Z;15097.02465587113;1;0
2018-01-03T06:00:00.0000000Z;15098.210692495963;1;0
2018-01-03T07:00:00.0000000Z;15341.34930108149;1;0
2018-01-03T08:00:00.0000000Z;15312.278630006354;0;1
2018-01-03T09:00:00.0000000Z;15130.434157374983;0;1
2018-01-03T10:00:00.0000000Z;14864.492506282635;0;1
2018-01-03T11:00:00.0000000Z;14749.372950925423;0;1
2018-01-03T12:00:00.0000000Z;14910.150296687243;1;0
2018-01-03T13:00:00.0000000Z;14626.26044619702;0;1
2018-01-03T14:00:00.0000000Z;14974.767915594422;1;0
2018-01-03T15:00:00.0000000Z;14926.721406599514;0;1
2018-01-03T16:00:00.0000000Z;15093.534143421799;1;0
2018-01-03T17:00:00.0000000Z;15132.47388969994;1;0
2018-01-03T18:00:00.0000000Z;14937.82412543352;0;1
2018-01-03T19:00:00.0000000Z;14839.80419176446;0;1
2018-01-03T20:00:00.0000000Z;14792.394547023141;0;1
2018-01-03T21:00:00.0000000Z;14984.940921352829;1;0
2018-01-03T22:00:00.0000000Z;15062.01946015914;1;0
2018-01-03T23:00:00.0000000Z;14868.360817414545;0;1
2018-01-04T00:00:00.0000000Z;15116.53279658317;1;0
2018-01-04T01:00:00.0000000Z;15150.790719477862;1;0
2018-01-04T02:00:00.0000000Z;15324.564283652358;1;0
2018-01-04T03:00:00.0000000Z;15280.865141908864;0;1
2018-01-04T04:00:00.0000000Z;15136.181144095597;0;1
2018-01-04T05:00:00.0000000Z;14966.23212476955;0;1
2018-01-04T06:00:00.0000000Z;14932.241321325786;0;1
2018-01-04T07:00:00.0000000Z;14907.134351181121;0;1
2018-01-04T08:00:00.0000000Z;14840.699267952734;0;1
2018-01-04T09:00:00.0000000Z;14460.060572586264;0;1
2018-01-04T10:00:00.0000000Z;14481.056354743847;1;0
2018-01-04T11:00:00.0000000Z;14523.627585557311;1;0
2018-01-04T12:00:00.0000000Z;14562.203744890032;1;0
2018-01-04T13:00:00.0000000Z;14442.150670348228;0;1
2018-01-04T14:00:00.0000000Z;14593.157152369757;1;0
2018-01-04T15:00:00.0000000Z;14560.058321165387;0;1
2018-01-04T16:00:00.0000000Z;14571.448464814046;1;0
2018-01-04T17:00:00.0000000Z;14503.917798740838;0;1
2018-01-04T18:00:00.0000000Z;14703.823694163179;1;0
2018-01-04T19:00:00.0000000Z;14756.806832624829;1;0
2018-01-04T20:00:00.0000000Z;15027.887111171658;1;0
2018-01-04T21:00:00.0000000Z;14822.363357439077;0;1
2018-01-04T22:00:00.0000000Z;14928.353387633864;1;0
2018-01-04T23:00:00.0000000Z;15080.114226986721;1;0
2018-01-05T00:00:00.0000000Z;15169.700102910114;1;0
2018-01-05T01:00:00.0000000Z;15062.948129788028;0;1
2018-01-05T02:00:00.0000000Z;15223.531129916451;1;0
2018-01-05T03:00:00.0000000Z;15153.22507577775;0;1
2018-01-05T04:00:00.0000000Z;14973.529933361406;0;1
2018-01-05T05:00:00.0000000Z;14938.260832825305;0;1
2018-01-05T06:00:00.0000000Z;15034.539605442416;1;0
2018-01-05T07:00:00.0000000Z;14924.352250608123;0;1
2018-01-05T08:00:00.0000000Z;14885.614753976202;0;1
2018-01-05T09:00:00.0000000Z;15476.843536044913;1;0
2018-01-05T10:00:00.0000000Z;15926.947229242509;1;0
2018-01-05T11:00:00.0000000Z;16056.77495202287;1;0
2018-01-05T12:00:00.0000000Z;16125.29173898161;1;0
2018-01-05T13:00:00.0000000Z;15857.534368104929;0;1
2018-01-05T14:00:00.0000000Z;16081.092748229878;1;0
2018-01-05T15:00:00.0000000Z;16101.664389833088;1;0
2018-01-05T16:00:00.0000000Z;16034.980168697022;0;1
2018-01-05T17:00:00.0000000Z;16435.75451053683;1;0
2018-01-05T18:00:00.0000000Z;16554.868244200603;1;0
2018-01-05T19:00:00.0000000Z;16521.974712499545;0;1
2018-01-05T20:00:00.0000000Z;16549.515742428368;1;0
2018-01-05T21:00:00.0000000Z;16724.918999304868;1;0
2018-01-05T22:00:00.0000000Z;16990.39182587126;1;0
2018-01-05T23:00:00.0000000Z;17199.874573499506;1;0
2018-01-06T00:00:00.0000000Z;17100.998282607805;0;1
2018-01-06T01:00:00.0000000Z;16984.189608258053;0;1
2018-01-06T02:00:00.0000000Z;17050.495711052234;1;0
2018-01-06T03:00:00.0000000Z;16556.132009067813;0;1
2018-01-06T04:00:00.0000000Z;16560.06825820612;1;0
2018-01-06T05:00:00.0000000Z;16536.682224092587;0;1
2018-01-06T06:00:00.0000000Z;16626.170336276253;1;0
2018-01-06T07:00:00.0000000Z;16583.6420100518;0;1
