hora;fechamento;ganho;perda
2018-01-01T01:00:00.0000000Z;0.016369200204947996;1;0
2018-01-01T02:00:00.0000000Z;0.016206261749819147;0;1
2018-01-01T03:00:00.0000000Z;0.016290828351976736;1;0
2018-01-01T04:00:00.0000000Z;0.016363026924716077;1;0
2018-01-01T05:00:00.0000000Z;0.016530051648961794;1;0
2018-01-01T06:00:00.0000000Z;0.016594311461862025;1;0
2018-01-01T07:00:00.0000000Z;0.01674081892531348;1;0
2018-01-01T08:00:00.0000000Z;0.016585499726425815;0;1
2018-01-01T09:00:00.0000000Z;0.016655735078262117;1;0
2018-01-01T10:00:00.0000000Z;0.016762966849271973;1;0
2018-01-01T11:00:00.0000000Z;0.016835128342976412;1;0
2018-01-01T12:00:00.0000000Z;0.01699204069208699;1;0
2018-01-01T13:00:00.0000000Z;0.016949649117503858;0;1
2018-01-01T14:00:00.0000000Z;0.01690727500026003;0;1
2018-01-01T15:00:00.0000000Z;0.01694246340079212;1;0
2018-01-01T16:00:00.0000000Z;0.016920489227468572;0;1
2018-01-01T17:00:00.0000000Z;0.01697101233620077;1;0
2018-01-01T18:00:00.0000000Z;0.016873999351768663;0;1
2018-01-01T19:00:00.0000000Z;0.0168328620771092;0;1
2018-01-01T20:00:00.0000000Z;0.016717131688234382;0;1
2018-01-01T21:00:00.0000000Z;0.01665453481066889;0;1
2018-01-01T22:00:00.0000000Z;0.016760444432315603;1;0
2018-01-01T23:00:00.0000000Z;0.016736531278102987;0;1
2018-01-02T00:00:00.0000000Z;0.016687822474865496;0;1
2018-01-02T01:00:00.0000000Z;0.016739794929702918;1;0
2018-01-02T02:00:00.0000000Z;0.017759848997608664;1;0
2018-01-02T03:00:00.0000000Z;0.01840031896227367;1;0
2018-01-02T04:00:00.0000000Z;0.01816069309405267;0;1
2018-01-02T05:00:00.0000000Z;0.017999037676937064;0;1
2018-01-02T06:00:00.0000000Z;0.017874093465431975;0;1
2018-01-02T07:00:00.0000000Z;0.01801776907567679;1;0
2018-01-02T08:00:00.0000000Z;0.018093337802061002;1;0
2018-01-02T09:00:00.0000000Z;0.018074247698850868;0;1
2018-01-02T10:00:00.0000000Z;0.01792426549940802;0;1
2018-01-02T11:00:00.0000000Z;0.01787614195761128;0;1
2018-01-02T12:00:00.0000000Z;0.017940887871265895;1;0
2018-01-02T13:00:00.0000000Z;0.018477307799523435;1;0
2018-01-02T14:00:00.0000000Z;0.018606388115801106;1;0
2018-01-02T15:00:00.0000000Z;0.01849182295699722;0;1
2018-01-02T16:00:00.0000000Z;0.01838060640986382;0;1
2018-01-02T17:00:00.0000000Z;0.018435361705074396;1;0
2018-01-02T18:00:00.0000000Z;0.017886276398382084;0;1
2018-01-02T19:00:00.0000000Z;0.017120090419015;0;1
2018-01-02T20:00:00.0000000Z;0.017057814167390693;0;1
2018-01-02T21:00:00.0000000Z;0.01693267524726541;0;1
2018-01-02T22:00:00.0000000Z;0.017074187143249243;1;0
2018-01-02T23:00:00.0000000Z;0.016901665581692746;0;1
2018-01-03T00:00:00.0000000Z;0.01710761730659038;1;0
